State,Hawaii,Indiana,New Mexico,Washington,Maine,Alabama,South Dakota,Illinois,New Jersey,Florida
Hawaii,0.0,69.40641180755564,239.72655255519777,99.69297868957473,50.566787519082126,191.80305002788668,55.68671295740125,203.09960610498487,113.18732261167767,289.42857495416723
Indiana,69.40641180755564,0.0,172.48144827777855,33.54519339637201,36.003472054789384,123.34520663568568,34.75341709817899,137.25611097506734,51.93149333496968,222.92386592736094
New Mexico,239.72655255519777,172.48144827777855,0.0,140.35159421965966,204.5531226845486,51.64348942509597,201.6339505142921,39.135789247183965,128.17913246702835,51.147238439626435
Washington,99.69297868957473,33.54519339637201,140.35159421965966,0.0,68.33864207020798,92.82047187986063,66.66783332312518,104.69861508157594,22.7666422645062,190.5556349206184
Maine,50.566787519082126,36.003472054789384,204.5531226845486,68.33864207020798,0.0,154.14528860785853,8.537564055396599,170.03332026400003,85.84340393996501,255.15230745576258
Alabama,191.80305002788668,123.34520663568568,51.64348942509597,92.82047187986063,154.14528860785853,0.0,151.08911277785703,28.45487655921213,83.24301772521225,102.00161763423166
South Dakota,55.68671295740125,34.75341709817899,201.6339505142921,66.66783332312518,8.537564055396599,151.08911277785703,0.0,167.87495346239118,85.5216931544272,252.4388440791155
Illinois,203.09960610498487,137.25611097506734,39.135789247183965,104.69861508157594,170.03332026400003,28.45487655921213,167.87495346239118,0.0,90.39933628074932,86.55870840071495
New Jersey,113.18732261167767,51.93149333496968,128.17913246702835,22.7666422645062,85.84340393996501,83.24301772521225,85.5216931544272,90.39933628074932,0.0,176.89717352179485
Florida,289.42857495416723,222.92386592736094,51.147238439626435,190.5556349206184,255.15230745576258,102.00161763423166,252.4388440791155,86.55870840071495,176.89717352179485,0.0
